numunitid,obsval,source_code_description,description,target,predicted_source_code_description
218,1010119400,millimole per liter,mmol/L,101.0,
77,828007861,billion per liter,10*9/L,7.0,
210,437812195,millimeter mercury column,mm Hg,96.0,
139,436023052,gram per liter,g/L,29.0,
285,311860972,micromole per liter,umol/L,70.0,
216,282427034,millimeter mercury column,mmHg,96.0,
1,233631482,percent,%,152.0,
156,226737938,kilogram,kg,45.0,
276,170436578,unit per liter,u/L,184.0,
134,168933634,femtoliter,fL,24.0,
154,157441910,international unit per liter,iu/L,40.0,
250,140055591,picogram,pg,157.0,
122,120565291,centimeter,cm,11.0,
74,112036798,trillion per liter,10*12/L,179.0,
138,110198010,gram per deciliter,g/dL,28.0,
157,79003542,kilogram per square meter,kg/m2,46.0,
104,62516371,heartbeat,beats/min,34.0,
307,62427417,billion per liter,x10^9/l,7.0,
202,56840980,milliliter per minute,ml/min,91.0,
229,56294544,milliunit per liter,mu/L,116.0,
162,56111310,liter per liter,l/l,51.0,
283,55423060,microgram per liter,ug/L,63.0,
183,53676869,milligram per liter,mg/L,83.0,
220,53215155,millimole per mole,mmol/mol,104.0,
82,45281913,billion per liter,10^9/l,7.0,
256,41128396,picomole per liter,pmol/L,163.0,
290,39811574,per week,units/week,150.0,
305,39419771,billion per liter,x10*9/L,7.0,
163,36774919,liter per minute,l/min,52.0,
199,31283120,milli-international unit per liter,mIU/L,76.0,
278,31100552,unit per week,U/week,186.0,
131,29839931,degree Celsius,degrees C,21.0,
260,28439904,ratio,ratio,165.0,
211,25260500,millimeter per hour,mm/h,97.0,
232,24041501,nanogram per liter,ng/L,124.0,
215,22686734,millimeter mercury column,mm[Hg],96.0,
207,22035244,milliliter per minute per 1.73 square meter,ml/min/1.73m2,93.0,
235,18707010,nanomole per liter,nmol/L,128.0,
42,18175766,per minute,/minute,145.0,
39,17952316,per 24 hours,/day,134.0,
29,15111443,score,/4,167.0,
205,15012166,milliliter per minute per 1.73 square meter,ml/min/1.73m*2,93.0,
186,13627112,milligram per millimole,mg/mmol,86.0,
65,13070514,liter per liter,1/1,51.0,
12,12393394,score,/12,167.0,
69,11547154,billion per liter,10 9/L,7.0,
321,11302665,billion per liter,x 10*9/L,7.0,
206,11039711,milliliter per minute per 1.73 square meter,ml/min/1.73m^2,93.0,
118,10754268,per 24 hours,Cigarettes/day,134.0,
233,10056009,nanogram per milliliter,ng/mL,125.0,
292,10045260,unit,Unk UoM,180.0,
306,9646752,trillion per liter,x10^12/l,179.0,
44,8490381,per microliter,/uL,142.0,
49,8177996,international unit per liter,[iU]/L,40.0,
261,8167495,second,s,168.0,
304,6908446,trillion per liter,x10*12/L,179.0,
212,6790377,millimeter mercury column,mm/Hg,96.0,
160,6623653,liter,l,50.0,
214,6122069,millimeter per hour,mm/hr,97.0,
164,6095046,liter per minute,l/minute,52.0,
81,6079503,trillion per liter,10^12/l,179.0,
47,5571947,per year,/year,151.0,
6,5553394,billion per liter,*10^9/l,7.0,
166,5417623,liter,litre,50.0,
25,5410207,score,/3,167.0,
76,5302071,billion cells per liter,10*9 cells/L,6.0,
30,5222296,score,/40,167.0,
884,5160453,billion per liter,x10\S\9l,7.0,
288,4949529,unit,units,180.0,
431,4583748,per billion,x10^9,135.0,
23,4247683,score,/27,167.0,
405,4105079,unit,UNKNOWN UNITS,180.0,
246,3980317,percent,per cent,152.0,
247,3755675,per 24 hours,per day,134.0,
277,3653036,unit per milliliter,U/mL,185.0,
105,3581488,heartbeat,beats/minute,34.0,
155,3553995,international unit per milliliter,iu/ml,41.0,
323,3469723,billion,10^9,5.0,
75,3224785,million per liter,10*6/L,109.0,
159,3163775,kilounit per liter,ku/L,49.0,
253,3055637,picogram per milliliter,pg/mL,161.0,
14,2998850,score,/16,167.0,
21,2965541,score,/25,167.0,
209,2819317,millimeter,mm,95.0,
52,2760381,heartbeat,{beats}/min,34.0,
167,2668229,liter,Litres,50.0,
1250,2597813,billion per liter,10**9/L,7.0,
226,2558683,millipascal second,mPa.s,115.0,
174,2435984,milli-international unit per liter,m[iU]/L,76.0,
343,2337758,heartbeat,bpm,34.0,
1072,2245257,million per liter,x10*6/L,109.0,
204,2222115,milliliter per minute per 1.73 square meter,mL/min/1.73.ar,93.0,
377,2178944,milliliter per minute,mLs/min,91.0,
273,2163855,per week,times/week,150.0,
433,2150414,billion per liter,x10e9/l,7.0,
37,2072049,score,/9,167.0,
178,2023748,milligram,mg,78.0,
895,1931592,per cubic millimeter,/mm*3,136.0,
334,1915463,per liter,/L,141.0,
397,1906136,milliliter per minute per 1.73 square meter,ml/min/1.73 m2,93.0,
920,1892203,percent,%CV,152.0,
17,1841439,score,/21,167.0,
11,1724031,per 100 white blood cells,/100WBC,133.0,
62,1674711,unit per week,{units}/wk,186.0,
1224,1672242,thousand per microliter,10*3/uL,173.0,
219,1653534,millimole per millimole,mmol/mmol,102.0,
585,1644176,billion per liter,x 10^9/l,7.0,
22101,1616361,kilogram per square meter,Kg/mÂ²,46.0,
213,1607010,millimeter per hour,mm/hour,97.0,
1039,1571528,milliliter per minute per 1.73 square meter,ml/min/bsa,93.0,
308,1518284,year,year,189.0,
197,1485205,micromole per liter,micromol/L,70.0,
98,1470162,per 24 hours,a day,134.0,
326,1435442,liter per minute,litres/minute,52.0,
68,1435388,trillion per liter,10 12/L,179.0,
173,1413161,meter,m,54.0,
45,1386483,per week,/week,150.0,
892,1372825,millimole per mole of hemoglobin,mmol/molHb,105.0,
428,1369467,trillion per liter,x 10*12/L,179.0,
203,1365404,milliliter per minute per 1.73 meter,ml/min/1.7,92.0,
381,1348990,degree Celsius,degC,21.0,
449,1318640,milliliter per minute per 1.73 square meter,mL/min/1.73sqm,93.0,
721,1312853,minute,min,117.0,
688,1269206,units,units=*,187.0,
111,1269151,degree Celsius,Cel,21.0,
714,1217475,billion per liter,x10^9 /L,7.0,
263,1211815,second,seconds,168.0,
911,1199319,milliliter per minute per 1.73 meter,mL/m/1.73m,92.0,
299,1198070,week,weeks,188.0,
5,1184509,billion per liter,*10^9/cumm,7.0,
335,1123204,billion per liter,x 10^9/litre,7.0,
32,1104958,score,/6,167.0,
191,1083389,micromole per liter,micmol/l,70.0,
279,1070840,microgram per gram,ug/g,61.0,
251,1002154,picogram per cell,pg/cell,158.0,
140,991710,gram per mole,g/mol,31.0,
862,947880,billion,10*9,5.0,
957,928489,Farad per liter,f/L,3.0,
348,917892,microunit per liter,MicroU/L,75.0,
129,917784,day,days,18.0,
51,905353,units,_,187.0,
193,904414,microgram per liter,microg/L,63.0,
141,897215,gram per time,g/week,33.0,
198,881946,micrometer,microns,67.0,
986,853414,unit,Not given,180.0,
14659,805395,billion per liter,e9/l,7.0,
189,753134,milligram per millimole of creatinine,mg/mmol(creat),87.0,
894,736841,trillion per liter,x10\S\12l,179.0,
264,734330,second,secs,168.0,
416,726448,milliunit per liter,10^3/uL,116.0,
389,724210,per trillion,10^12,149.0,
79,719167,billion per liter,10/9L,7.0,
309,712333,year,years,189.0,
262,709756,score,Score,167.0,
4,705036,million per cubic millimeter,*10^6/cu mm,108.0,
1155,684338,unit,(Unknown),180.0,
816,679973,mole per liter,mol/L,119.0,
257,678748,parts per million,ppm,131.0,
124,673570,centipoise,cp,12.0,
344,670939,milliliter per minute per 1.73 square meter,mL/min/1.73*2,93.0,
176,669536,micromole per liter,MCMOL/L,70.0,
40,659495,per 24 hours,/day (past),134.0,
879,656783,millimole per mole,IFCCmmol/mol,104.0,
298,650671,week,week,188.0,
360,650573,picogram per cell,pg/cl,158.0,
413,639238,parts per trillion,x10^12,132.0,
1031,631545,millimole per mole,mM/M,104.0,
1243,626214,billion per liter,x10^9l,7.0,
392,626144,billion per liter,x10 9/,7.0,
923,624267,unit,Unknown,180.0,
24,615022,score,/28,167.0,
291,613030,unit per week,units/wk,186.0,
128,590776,day,day,18.0,
73,588601,trillion cells per liter,10*12 cells/L,178.0,
370,586636,thousand allergen-specific IgE antibody units per liter,KUa/L,171.0,
832,582499,microgram per milliliter,ug/ml,65.0,
829,569451,calculated,(Calculated),9.0,
797,569284,per cubic millimeter,cmm,136.0,
1303,564328,milliliter per minute per 1.73 square meter,mL/min/1.72m*2,93.0,
1035,561126,millimeter per hour,mm1st hr,97.0,
182,554446,milligram per deciliter,MG/DL,81.0,
1043,543550,percent hemoglobin,% total Hb,153.0,
153,542510,international unit,IU,37.0,
861,530767,milliliter per minute per 1.73 square meter,mL/min/1.73m\S\2,93.0,
41,530483,per minute,/min,145.0,
108,530401,kilogram per square meter,Body Mass Index,46.0,
130,511475,day per week,days/week,19.0,
120,497650,per 24 hours,Cigs/Day,134.0,
1257,491342,per 100 white blood cells,per 100 wbcs,133.0,
200,489700,milliliter,ml,88.0,
208,489543,milliliter per minute per 1.73 square meter,mL/min/1.73sq.m,93.0,
31,486880,score,/5,167.0,
1640,484393,billion per liter,X 10 9/L,7.0,
26,479948,score,/30,167.0,
353,477685,Decibel,dB,2.0,
188,469325,milligram per millimole of creatinine,mg/mmol creat,87.0,
615,453370,millimeter per hour,mm/1 hr,97.0,
10,442538,unit per 10,/10,181.0,
110,440274,degree Celsius,C,21.0,
1045,439527,billion per liter,10/9 l,7.0,
230,428641,nanogram per milliliter,nanogram/ml,125.0,
